No,㎡単価,交通,価格,取引態様,取引状況,商号,坪単価,専有面積,建物名,所在地,所在階,沿線駅,物件番号,物件種目,用途地域,管理費,築年月,間取,電話番号
,124.1万円,徒歩　9分,"3,480万円",売主,-,（株）ランドネット,410.2万円,28.05㎡,ビルマーサ,東京都港区西麻布１丁目,2階,日比谷線　六本木,100137162633,中古マンション,近商,"11,500円",1979年（昭和54年） 5月,ワンルーム,03-3986-3927
,110.9万円,徒歩　6分,"3,000万円",専任,公開中,（株）大進土地建物,366.4万円,27.07㎡,赤坂グリーンハイツ,東京都港区赤坂２丁目,2階,千代田線　赤坂,100137158158,中古マンション,商業,"13,560円",1976年（昭和51年）月不詳,1ＤＫ,03-3269-5511
,178.0万円,徒歩　9分,"3,700万円",一般 オーナーチェンジ,-,東急リバブル（株）　麻布センター,588.4万円,20.79㎡,コンシェリア南麻布ＴＯＫＹＯ　ＰＲＥＭＩＵＭ　ＷＥＳＴ,東京都港区南麻布３丁目,6階,南北線　白金高輪,100137062798,中古マンション,商業,"10,600円",2017年（平成29年） 2月,1Ｋ,03-5765-6962
,257.7万円,徒歩　3分,"9,980万円",専任,公開中,野村不動産ソリューションズ（株）　川崎営業部,851.9万円,38.73㎡,エクセレントシティ白金高輪,東京都港区白金１丁目,2階,都営三田線　白金高輪,100137159802,中古マンション,準工,"16,000円",2015年（平成27年）11月,1ＬＤＫ,044-230-1503
,103.5万円,徒歩　11分,"2,580万円",専任,公開中,野村不動産ソリューションズ（株）　三田センター,342.2万円,24.93㎡,三田ダイヤモンドパレスＢ棟,東京都港区三田４丁目,1階,都営浅草線　三田,100136985664,中古マンション,一中,"7,730円",1980年（昭和55年） 1月,1ＤＫ,03-5765-2236
,120.9万円,徒歩　4分,"2,680万円",専属 オーナーチェンジ,申込あり,東急リバブル（株）　投資マンション推進課,399.5万円,22.18㎡,メイクスデザイン白金台,東京都港区白金台２丁目,1階,都営浅草線　高輪台,100136442148,中古マンション,一中,"6,200円",2000年（平成12年） 9月,1Ｋ,03-3463-6147
,288.4万円,徒歩　6分,"7,350万円",一般,-,東急リバブル（株）　三田センター,953.3万円,25.49㎡,ブリリアタワー浜離宮,東京都港区海岸１丁目,16階,山手線　浜松町,100136101235,中古マンション,準工,"8,730円",2023年（令和 5年） 9月,ワンルーム,03-6436-4109
,122.4万円,徒歩　3分,"4,780万円",売主,-,（株）日新ハウジング,404.5万円,39.07㎡,秀和六本木レジデンス,東京都港区六本木７丁目,2階,日比谷線　六本木,100137157604,中古マンション,一住,"7,700円",1968年（昭和43年） 9月,1Ｋ,03-3228-0701
,125.0万円,徒歩　4分,"3,780万円",売主,-,（株）ランドネット,413.3万円,30.24㎡,ワコー三田マンション,東京都港区芝４丁目,2階,都営三田線　三田,100137151522,中古マンション,商業,"11,760円",1979年（昭和54年） 8月,1ＤＫ,03-3986-3986
,194.5万円,徒歩　7分,"7,280万円",売主,-,（株）ランドネット横浜支店,642.8万円,37.44㎡,パルテール白金,東京都港区白金３丁目,6階,都営三田線　白金高輪,100137157282,中古マンション,準工,"8,610円",1999年（平成11年） 3月,1ＬＤＫ,045-313-9018
,288.4万円,徒歩　6分,"7,350万円",一般 オーナーチェンジ,-,東京建物不動産販売（株）　リテール営業部,953.3万円,25.49㎡,ブリリアタワー浜離宮,東京都港区海岸１丁目,,山手線　浜松町,100136200130,中古マンション,準工,"8,730円",2023年（令和 5年） 9月,ワンルーム,03-6837-5800
,110.2万円,徒歩　1分,"2,780万円",専属 オーナーチェンジ,申込あり,東急リバブル（株）　武蔵小杉センター,364.3万円,25.23㎡,シンシア麻布十番,東京都港区麻布十番３丁目,6階,南北線　麻布十番,100136240372,中古マンション,商業,"9,080円",1999年（平成11年） 7月,1Ｋ,044-738-2811
,162.3万円,徒歩　4分,"4,300万円",専任 オーナーチェンジ,公開中,（株）セイ・コーポレーション,536.5万円,26.50㎡,大和コーポ,東京都港区元麻布３丁目,,大江戸線　麻布十番,100137155917,中古マンション,一住,"7,600円",1979年（昭和54年） 1月,1ＤＫ,03-3408-6663
,115.4万円,徒歩　9分,"4,180万円",売主,-,（株）アンフィス,381.2万円,36.25㎡,グランドパレス田町,東京都港区芝浦４丁目,9階,山手線　田町,100137052359,中古マンション,準工,"8,200円",1980年（昭和55年） 6月,1ＬＤＫ,080-5456-3802
,113.2万円,徒歩　9分,"4,180万円",専任 オーナーチェンジ,申込あり,住友不動産ステップ（株）　東京湾岸マンションプラザ,374.0万円,36.95㎡,ユニーブル田町,東京都港区芝浦１丁目,3階,山手線　田町,100137154017,中古マンション,商業,"9,000円",1998年（平成10年） 9月,ワンルーム,050-3112-9844
,101.1万円,徒歩　5分,"3,350万円",専属 オーナーチェンジ,公開中,（株）セイ・コーポレーション,334.2万円,33.14㎡,松山ハイツ,東京都港区元麻布３丁目,3階,大江戸線　麻布十番,100137155891,中古マンション,一中,"13,000円",1978年（昭和53年） 6月,1ＬＤＫ,080-1227-6629
,101.7万円,徒歩　16分,"2,898万円",代理 オーナーチェンジ,-,東新住販（株）,336.0万円,28.52㎡,エスコート芝浦ＥＡＳＴ,東京都港区海岸３丁目,10階,山手線　田町,100136747611,中古マンション,準工,"9,980円",2002年（平成14年） 9月,1Ｋ,08033600469
,129.7万円,徒歩　8分,"4,200万円",一般,-,（株）スマイルコーポレーション,428.6万円,32.40㎡,ニュー白金マンション,東京都港区白金４丁目,5階,南北線　白金高輪,100136892368,中古マンション,一中,"7,450円",1971年（昭和46年）10月,ワンルーム,03-6914-0962
,121.8万円,徒歩　9分,"3,280万円",専属,公開中,（株）ニューフロント,402.5万円,26.94㎡,田町ダイヤハイツ,東京都港区芝浦４丁目,2階,山手線　田町,100136102357,中古マンション,準工,"8,000円",1977年（昭和52年） 8月,1ＤＫ,07031371989
,152.6万円,徒歩　3分,"5,480万円",専属,公開中,住友不動産ステップ（株）　麻布営業センター,504.2万円,35.93㎡,永谷ヒルプラザ六本木,東京都港区六本木７丁目,6階,千代田線　乃木坂,100137070772,中古マンション,一住,"14,534円",1972年（昭和47年）11月,1ＤＫ,050-3112-9826
,107.2万円,徒歩　7分,"1,800万円",専任 オーナーチェンジ,公開中,興和管理（株）,354.2万円,16.80㎡,赤坂レジデンシャルホテル,東京都港区赤坂９丁目,6階,千代田線　赤坂,100136825286,中古マンション,近商,"15,881円",1971年（昭和46年） 5月,ワンルーム,03-5574-7905
,49.2万円,徒歩　10分,770万円,一般 オーナーチェンジ,-,トラストリアルエステート（株）,162.4万円,15.68㎡,サンハイム田町,東京都港区海岸３丁目,4階,山手線　田町,100137152992,中古マンション,準工,"7,500円",1975年（昭和50年） 4月,ワンルーム,03-5777-0468
,87.3万円,徒歩　2分,"1,720万円",一般 オーナーチェンジ,-,（株）Ｍｙ不動産,288.4万円,19.72㎡,シティーマンション赤坂,東京都港区赤坂６丁目,2階,千代田線　赤坂,100130282595,中古マンション,二住,"8,090円",1979年（昭和54年）11月,ワンルーム,03-6276-4128
,98.2万円,徒歩　5分,"1,500万円",専任 オーナーチェンジ,公開中,（株）赤坂リアルエステート,324.6万円,15.28㎡,インペリアル赤坂壱番館,東京都港区赤坂８丁目,1階,千代田線　乃木坂,100136072040,中古マンション,近商,"5,750円",1980年（昭和55年） 9月,ワンルーム,03-6379-9175
,85.8万円,徒歩　3分,"3,000万円",専任 オーナーチェンジ,公開中,（株）シー・エフ・ネッツ　東京本社,283.4万円,35.00㎡,マリンシティダイヤモンドパレス,東京都港区海岸３丁目,5階,ゆりかもめ　芝浦ふ頭,100137148763,中古マンション,準工,確認中,1980年（昭和55年） 3月,1ＬＤＫ,03-3562-8820
,149.4万円,徒歩　5分,"3,950万円",一般 オーナーチェンジ,-,プラザホームズ（株）,493.9万円,26.44㎡,六本木シローマンション,東京都港区六本木６丁目,6階,日比谷線　六本木,100136114573,中古マンション,二住,"18,800円",1975年（昭和50年） 7月,ワンルーム,080-4375-9063
,98.5万円,徒歩　4分,"2,180万円",売主 オーナーチェンジ,-,朝日エンタープライズ（株）　神田南口店,325.6万円,22.14㎡,ニューハイツ麻布仙台坂,東京都港区南麻布１丁目,7階,南北線　麻布十番,100137147687,中古マンション,商業,"10,800円",1979年（昭和54年） 4月,1Ｋ,03-5207-5311
,90.0万円,徒歩　7分,"1,890万円",専任,公開中,（株）ビー・アイ・ジー,297.6万円,21.00㎡,チサンマンション南麻布,東京都港区南麻布２丁目,6階,都営三田線　白金高輪,100136640574,中古マンション,準工,"3,770円",1978年（昭和53年）11月,ワンルーム,080-7800-6515
,101.1万円,徒歩　13分,"1,988万円",専属,公開中,（株）コスモアセット,334.0万円,19.68㎡,インペリアル南麻布コートアンドサテライト,東京都港区南麻布４丁目,4階,日比谷線　広尾,100136391194,中古マンション,二中,"14,000円",1995年（平成 7年） 2月,ワンルーム,03-5443-2211
,167.6万円,徒歩　5分,"5,980万円",専任 オーナーチェンジ,公開中,（株）日税不動産情報センター,553.8万円,35.70㎡,シンシア白金山北ホームズ,東京都港区白金１丁目,6階,南北線　白金高輪,100137146522,中古マンション,準工,"10,730円",1999年（平成11年） 9月,1ＤＫ,03-3346-2222
,116.0万円,徒歩　2分,"3,600万円",一般 オーナーチェンジ,-,翔辰（株）,383.3万円,31.05㎡,赤坂ロイヤルプラザ,東京都港区赤坂２丁目,,千代田線　赤坂,100136695273,中古マンション,商業,"13,410円",1982年（昭和57年） 8月,1Ｋ,080-4359-5300
,142.7万円,徒歩　1分,"3,980万円",専属,申込あり,ロイヤルハウジング販売（株）　新浦安シンボルロード店,471.6万円,27.90㎡,フォンテ青山,東京都港区南青山２丁目,11階,銀座線　外苑前,100135381079,中古マンション,商業,"13,400円",1978年（昭和53年）12月,ワンルーム,047-350-5111
,107.6万円,徒歩　5分,"2,980万円",一般 オーナーチェンジ,-,オークラヤ住宅（株）　品川営業所,355.4万円,27.72㎡,ローレル三田,東京都港区三田２丁目,4階,都営三田線　三田,100136444090,中古マンション,商業,"11,000円",1978年（昭和53年）11月,ワンルーム,03-5877-3060
,383.1万円,徒歩　5分,"11,500万円",売主,-,銀座プランニング（株）,"1,266.4万円",30.02㎡,パークコート浜離宮ザ・タワー,東京都港区浜松町１丁目,8階,山手線　浜松町,100137145893,中古マンション,商業,"11,410円",2019年（平成31年） 2月,ワンルーム,03-6683-8202
,141.1万円,徒歩　12分,"5,250万円",専任,公開中,（株）ＳＥＮＳＥ,466.5万円,37.21㎡,ファミール南青山ブランカ,東京都港区南青山７丁目,1階,銀座線　表参道,100137130475,中古マンション,一中,"16,070円",2003年（平成15年） 3月,1ＤＫ,03-6823-0975
,145.1万円,徒歩　7分,"4,600万円",専任,公開中,合同会社Ｍ．Ａ,479.6万円,31.71㎡,スカイプラザ赤坂,東京都港区赤坂８丁目,B1階,銀座線　青山一丁目,100136024100,中古マンション,一中,"4,920円",1978年（昭和53年）11月,ワンルーム,0334658100
,158.4万円,徒歩　9分,"3,980万円",専任 オーナーチェンジ,公開中,（株）ＦＧＨ,523.4万円,25.14㎡,パティーナ三田台,東京都港区三田４丁目,5階,都営浅草線　泉岳寺,100136781230,中古マンション,近商,"8,200円",2015年（平成27年） 9月,1Ｋ,03-3234-0533
,277.9万円,徒歩　4分,"9,680万円",専任,公開中,東急リバブル（株）　麻布センター,918.5万円,34.84㎡,ジオ高輪,東京都港区高輪１丁目,5階,南北線　白金高輪,100137034490,中古マンション,一中,"17,540円",2019年（令和 1年）10月,1ＬＤＫ,03-5765-6962
,142.7万円,徒歩　4分,"2,760万円",専属 オーナーチェンジ,申込あり,東急リバブル（株）　麻布センター,471.6万円,19.35㎡,ラグーンシティ芝公園,東京都港区芝３丁目,5階,都営三田線　三田,100136764178,中古マンション,近商,"14,304円",2003年（平成15年） 6月,1Ｋ,03-5765-6962
,274.3万円,徒歩　4分,"6,900万円",専属,公開中,東急リバブル（株）　麻布センター,906.6万円,25.16㎡,パークリュクス東麻布ｍｏｎｏ,東京都港区東麻布１丁目,5階,大江戸線　赤羽橋,100136128141,中古マンション,商業,"13,460円",2014年（平成26年） 2月,1Ｋ,03-5765-6962
,674.9万円,徒歩　5分,"19,800万円",一般,-,三井不動産リアルティ（株）三井のリアルプラン麻布サロン,"2,230.9万円",29.34㎡,三田ガーデンヒルズ　ノースヒル,東京都港区三田１丁目,10階,南北線　麻布十番,100137144816,中古マンション,二住,"27,080円",2024年（令和 6年）12月,ワンルーム,03-5789-3131
,56.7万円,徒歩　10分,888万円,売主 オーナーチェンジ,-,（株）アイアールトラスト,187.3万円,15.68㎡,サンハイム田町,東京都港区海岸３丁目,11階,山手線　田町,100137144725,中古マンション,準工,"7,500円",1975年（昭和50年） 4月,ワンルーム,0339257733
,125.2万円,徒歩　1分,"4,180万円",専任 オーナーチェンジ,申込あり,三菱地所ハウスネット（株）　渋谷営業所,413.6万円,33.41㎡,朝日白金台マンション,東京都港区白金台３丁目,9階,南北線　白金台,100133426725,中古マンション,商業,"6,700円",2000年（平成12年）11月,ワンルーム,03-3400-2300
,170.0万円,徒歩　4分,"2,850万円",専属,公開中,住友不動産ステップ（株）　麻布営業センター,561.9万円,16.77㎡,オリエントニュー赤坂,東京都港区赤坂２丁目,5階,銀座線　溜池山王,100135449222,中古マンション,商業,"12,441円",1980年（昭和55年） 4月,ワンルーム,050-3112-9826
,119.9万円,徒歩　4分,"2,080万円",一般 オーナーチェンジ,-,（株）プリンスランド,396.1万円,17.36㎡,田町サンハイツ,東京都港区芝浦３丁目,5階,山手線　田町,100136642327,中古マンション,準工,"8,930円",1976年（昭和51年） 4月,ワンルーム,080-9463-3999
,123.9万円,徒歩　5分,"3,480万円",売主 オーナーチェンジ,-,融暢（株）,409.6万円,28.09㎡,赤坂グリーンハイツ,東京都港区赤坂２丁目,5階,千代田線　赤坂,100137142462,中古マンション,商業,"14,040円",1976年（昭和51年） 4月,1ＤＫ,080-6758-2710
,111.5万円,徒歩　7分,"2,980万円",一般 オーナーチェンジ,-,夢・プラス（有）,368.5万円,26.74㎡,赤坂桧町公園アーバンライフ,東京都港区赤坂９丁目,4階,千代田線　乃木坂,100137139143,中古マンション,二中,"10,300円",1972年（昭和47年） 2月,1ＤＫ,03-5413-3979
,96.6万円,徒歩　7分,"2,580万円",専属,公開中,東急リバブル（株）　目白センター,319.1万円,26.73㎡,インペリアル赤坂一番館,東京都港区赤坂８丁目,1階,日比谷線　六本木,100135978825,中古マンション,一中,"14,700円",1980年（昭和55年） 9月,ワンルーム,03-6844-5109
,182.2万円,徒歩　7分,"3,180万円",一般,-,東急リバブル（株）　勝どきセンター,602.1万円,17.46㎡,インペリアル赤坂フオーラム,東京都港区赤坂７丁目,3階,千代田線　乃木坂,100129988523,中古マンション,近商,"5,800円",1983年（昭和58年）10月,ワンルーム,03-6866-3861
,114.7万円,徒歩　7分,"1,780万円",専任,公開中,（株）大京穴吹不動産　駒込店,379.2万円,15.52㎡,マリンロードダイヤモンドパレス,東京都港区芝浦３丁目,10階,山手線　田町,100132283104,中古マンション,商業,"4,870円",1980年（昭和55年）10月,1Ｋ,03-5907-5722
,224.3万円,徒歩　3分,"7,680万円",売主,-,（株）エフステージ,741.5万円,34.24㎡,パレステュディオ虎ノ門,東京都港区虎ノ門３丁目,2階,日比谷線　神谷町,100137137998,中古マンション,商業,"10,440円",2003年（平成15年） 8月,1ＬＤＫ,03-3868-2122
,108.6万円,徒歩　2分,"1,700万円",専任,公開中,グッドハウス（有）,358.9万円,15.66㎡,パレ・ドール高輪,東京都港区三田４丁目,1階,京浜急行線　泉岳寺,100137003663,中古マンション,近商,"5,980円",1985年（昭和60年） 8月,ワンルーム,03-3452-9128
,105.1万円,徒歩　11分,"1,960万円",専任 オーナーチェンジ,公開中,（株）ウィンドゲート,347.3万円,18.66㎡,南青山ロータリーマンション,東京都港区南青山６丁目,1階,銀座線　表参道,100136541233,中古マンション,二中,"9,400円",1977年（昭和52年） 5月,ワンルーム,03-6418-6666
,165.0万円,徒歩　1分,"3,600万円",一般 オーナーチェンジ,-,（株）ＢＡＳＥ,545.2万円,21.83㎡,メインステージ高輪駅前Ⅱ,東京都港区高輪１丁目,2階,南北線　白金高輪,100137078207,中古マンション,商業,確認中,2006年（平成18年） 6月,1Ｋ,080-5682-8317
,294.1万円,徒歩　6分,"10,900万円",一般,-,（株）ランドネット,972.1万円,37.07㎡,リビオレゾン新虎通り,東京都港区新橋４丁目,10階,山手線　新橋,100134990660,中古マンション,商業,"14,230円",2020年（令和 2年） 7月,1ＬＤＫ,03-3986-3992
,222.3万円,徒歩　4分,"5,180万円",代理,-,虹色ライフ（株）,734.7万円,23.31㎡,パークリュクス東麻布ｍｏｎｏ,東京都港区東麻布１丁目,8階,大江戸線　赤羽橋,100137130313,中古マンション,商業,"12,470円",2014年（平成26年） 2月,1Ｋ,03-6823-4877
,97.0万円,徒歩　10分,"2,580万円",専任,申込あり,住友不動産ステップ（株）　白金高輪営業センター,320.4万円,26.62㎡,藤和三田コープ,東京都港区三田５丁目,2階,南北線　白金高輪,100135027225,中古マンション,近商,"11,610円",1981年（昭和56年） 2月,ワンルーム,050-3112-9814
,103.3万円,徒歩　6分,"2,100万円",売主,-,（株）一心住宅販売,341.4万円,20.34㎡,サンテミリオン三田,東京都港区芝１丁目,4階,都営三田線　三田,100137129717,中古マンション,商業,"12,935円",2001年（平成13年）12月,1Ｋ,080-1399-5583
,130.7万円,徒歩　2分,"3,280万円",専任,公開中,Ｃｉｔｙ　Ｂａｓｅ（株）,431.9万円,25.11㎡,パレ・ドール高輪,東京都港区三田４丁目,4階,京浜急行線　泉岳寺,100136944309,中古マンション,近商,"8,150円",1985年（昭和60年） 8月,1ＤＫ,050-6883-9125
,202.6万円,徒歩　2分,"6,999万円",売主,-,（株）未来都市開発,669.5万円,34.56㎡,アドリーム東麻布,東京都港区東麻布１丁目,4階,大江戸線　赤羽橋,100136663077,中古マンション,近商,"14,100円",1997年（平成 9年） 6月,1ＬＤＫ,080-3029-3277
,300.2万円,徒歩　8分,"11,700万円",専任,公開中,（株）ライフデザイナーズ,992.3万円,38.98㎡,パークコート赤坂ザタワー,東京都港区赤坂４丁目,,千代田線　赤坂,100133609425,中古マンション,二住,"12,630円",2009年（平成21年） 6月,ワンルーム,03-3568-6611
,125.0万円,徒歩　3分,"3,000万円",一般 オーナーチェンジ,-,（株）ランドネット,413.3万円,24.00㎡,モンテベルデ芝大門,東京都港区芝大門２丁目,6階,山手線　浜松町,100136821008,中古マンション,商業,"6,340円",1983年（昭和58年）12月,ワンルーム,03-3986-7258
,223.5万円,徒歩　4分,"6,990万円",売主,-,（株）ＬｏｇＳｕｉｔｅ,738.8万円,31.28㎡,エスト・グランディールＣＡＲＯ赤坂,東京都港区赤坂６丁目,5階,千代田線　赤坂,100136944002,中古マンション,二住,"10,200円",2001年（平成13年）10月,1ＤＫ,03-6910-5322
,230.3万円,徒歩　7分,"7,180万円",売主,-,ＴＲＵＳＴ　ＯＮＥ（株）,761.3万円,31.18㎡,グレイス高輪,東京都港区高輪２丁目,4階,山手線　高輪ゲートウェイ,100136184717,中古マンション,二住,"7,700円",1985年（昭和60年）10月,1ＤＫ,03-6629-3210
,257.7万円,徒歩　7分,"8,500万円",一般,-,（株）ケン・コーポレーション　住宅営業部,851.8万円,32.99㎡,グランパレス南麻布仙台坂,東京都港区南麻布１丁目,7階,大江戸線　麻布十番,100136937715,中古マンション,準工,"8,850円",1995年（平成 7年）10月,1ＬＤＫ,080-7946-2802
,333.0万円,徒歩　8分,"12,980万円",一般 オーナーチェンジ,-,（株）ケン・コーポレーション　住宅営業部,"1,100.8万円",38.98㎡,パークコート赤坂ザタワー,東京都港区赤坂４丁目,15階,千代田線　赤坂,100136694736,中古マンション,二住,"12,630円",2009年（平成21年） 6月,1Ｋ,03-5413-5601
,288.4万円,徒歩　5分,"7,350万円",一般 オーナーチェンジ,-,（株）ケン・コーポレーション　住宅営業部,953.3万円,25.49㎡,Ｂｒｉｌｌｉａ　Ｔｏｗｅｒ　浜離宮,東京都港区海岸１丁目,16階,山手線　浜松町,100136197441,中古マンション,準工,"8,730円",2023年（令和 5年） 9月,ワンルーム,03-5413-5601
,349.8万円,徒歩　5分,"10,500万円",一般,-,（株）ケン・コーポレーション　住宅営業部,"1,156.3万円",30.02㎡,パークコート浜離宮　ザ　タワー,東京都港区浜松町１丁目,,山手線　浜松町,100131757417,中古マンション,商業,"11,410円",2019年（平成31年） 2月,ワンルーム,070-3135-4734
,132.7万円,徒歩　5分,"4,280万円",売主,-,（株）Ｆｉｎｄホーム,438.5万円,32.27㎡,ロイヤル赤坂サルーン　　価変,東京都港区元赤坂１丁目,5階,丸ノ内線　赤坂見附,100137125370,中古マンション,商業,"16,890円",1976年（昭和51年） 5月,ワンルーム,080-4893-8310
,135.1万円,徒歩　5分,"3,980万円",売主,-,（株）Ｆｉｎｄホーム,446.7万円,29.46㎡,インペリアル赤坂一番館,東京都港区赤坂８丁目,3階,千代田線　乃木坂,100137125297,中古マンション,近商,"16,200円",1980年（昭和55年） 9月,1ＤＫ,080-7472-2091
,142.4万円,徒歩　8分,"4,200万円",専任,公開中,（株）ケン・コーポレーション　住宅営業部,470.5万円,29.51㎡,シャンボール三田,東京都港区三田５丁目,7階,南北線　白金高輪,100137125090,中古マンション,商業,"5,020円",1978年（昭和53年） 9月,1ＬＤＫ,080-7946-2347
,113.6万円,徒歩　9分,"2,254万円",売主 オーナーチェンジ,-,（株）ランドネット横浜支店,375.4万円,19.85㎡,リバーサイド麻布,東京都港区南麻布２丁目,3階,南北線　白金高輪,100137124773,中古マンション,商業,"9,525円",1990年（平成 2年） 9月,ワンルーム,045-313-9035
,142.6万円,徒歩　5分,"3,000万円",一般 オーナーチェンジ,-,（株）エーシークリエイト,471.4万円,21.04㎡,モンテベルデ芝大門,東京都港区芝大門２丁目,6階,山手線　浜松町,100137123754,中古マンション,商業,"6,340円",1983年（昭和58年）12月,1Ｋ,03-6804-2699
,162.5万円,徒歩　7分,"4,130万円",専任 オーナーチェンジ,公開中,（株）ＴＥＲＡＳＳ,537.1万円,25.42㎡,コンシェリア新橋ＣＲＯＳＳＩＡ,東京都港区新橋５丁目,3階,山手線　新橋,100137123678,中古マンション,商業,"12,800円",2014年（平成26年） 2月,ワンルーム,03-6773-7621
,125.9万円,徒歩　7分,"4,568万円",専属,公開中,（株）京禧,416.1万円,36.30㎡,芝マンション,東京都港区芝２丁目,9階,都営三田線　芝公園,100136924807,中古マンション,商業,"8,390円",1979年（昭和54年） 2月,1ＬＤＫ,03-3844-8828
,114.8万円,徒歩　9分,"3,080万円",専任 オーナーチェンジ,公開中,（株）マイコンサルティング,379.4万円,26.84㎡,パークウェル白金高輪,東京都港区高輪２丁目,7階,南北線　白金高輪,100136723170,中古マンション,近商,"13,420円",2002年（平成14年） 7月,1Ｋ,03-6453-8305
,213.6万円,徒歩　3分,"7,780万円",売主,-,（株）スプリングエステート横浜支社　横浜支社,705.8万円,36.44㎡,ライオンズプラザ東麻布,東京都港区東麻布２丁目,6階,大江戸線　赤羽橋,100137121142,中古マンション,近商,"7,100円",2000年（平成12年） 3月,1ＬＤＫ,070-5023-4248
,155.5万円,徒歩　2分,"3,380万円",売主,-,（株）ＮＫＭ,513.8万円,21.75㎡,ステージグランデ高輪,東京都港区高輪２丁目,10階,都営浅草線　泉岳寺,100137121139,中古マンション,商業,"10,100円",2003年（平成15年） 1月,1Ｋ,080-5668-8882
,160.3万円,徒歩　2分,"4,499万円",売主,-,（株）ジャパンプライムムーバ,529.7万円,28.08㎡,オリエント赤坂モートサイド,東京都港区元赤坂１丁目,7階,銀座線　赤坂見附,100137120562,中古マンション,商業,"12,481円",1978年（昭和53年） 4月,1ＤＫ,03-6809-5481
