No,物件番号,物件種目,専有面積,所在地,取引態様,価格,用途地域,㎡単価,建物名,所在階,間取,取引状況,管理費,坪単価,沿線駅,交通,商号,築年月,電話番号
,100137120180,中古マンション,59.34㎡,東京都渋谷区宇田川町,専任,"16,000万円",商業,269.7万円,パークコート渋谷　ザ　タワー,19階,1ＳＬＤＫ,公開中,"29,310円",891.4万円,半蔵門線　渋谷,徒歩　7分,（株）マスターズ・コンサルティング,2020年（令和 2年） 7月,080-7742-6977
,100137120750,中古マンション,50.65㎡,東京都渋谷区本町３丁目,売主,"8,699万円",二住,171.8万円,ディオレ西新宿,8階,1ＬＤＫ,-,"7,100円",567.8万円,大江戸線　西新宿五丁目,徒歩　4分,（株）ジャパンプライムムーバ,1999年（平成11年） 2月,03-6809-5481
,100136001806,中古マンション,54.79㎡,東京都渋谷区恵比寿３丁目,売主,"17,990万円",近商,328.4万円,シティハウス広尾南,8階,1ＳＬＤＫ,-,"12,815円","1,085.5万円",日比谷線　広尾,徒歩　10分,（株）すむたす,2016年（平成28年） 2月,03-6897-6901
,100136773756,中古マンション,68.42㎡,東京都渋谷区富ヶ谷１丁目,専任,"28,480万円",近商,416.3万円,ブリリアタワー代々木公園クラッシィ,13階,1ＬＤＫ,公開中,"23,400円","1,376.1万円",千代田線　代々木公園,徒歩　2分,野村不動産ソリューションズ（株）　レアリア東京,2018年（平成30年）11月,03-5114-5973
,100137089512,中古マンション,46.61㎡,東京都渋谷区富ヶ谷１丁目,一般,"9,980万円",近商,214.2万円,パークハウス代々木公園ラフィナート,5階,1ＬＤＫ,-,確認中,707.9万円,小田急線　代々木八幡,徒歩　2分,三菱地所ハウスネット（株）　勝どき営業所,2008年（平成20年）10月,03-3520-9370
,100137089468,中古マンション,50.95㎡,東京都渋谷区代官山町,専任 オーナーチェンジ,"14,200万円",二住,278.8万円,代官山アドレス・ザ・タワー,6階,1ＬＤＫ,公開中,"12,800円",921.4万円,東横線　代官山,徒歩　1分,（株）ウィル・ビー,2000年（平成12年） 8月,070-6987-4824
,100137088513,中古マンション,46.75㎡,東京都渋谷区初台１丁目,売主,"5,799万円",商業,124.1万円,初台スカイレジテル,9階,1ＬＤＫ,-,"13,600円",410.1万円,京王線　初台,徒歩　2分,（株）イーグランド,1982年（昭和57年）11月,050-1720-5227
,100137088465,中古マンション,41.19㎡,東京都渋谷区桜丘町,売主,"7,680万円",商業,186.5万円,イトーピア渋谷桜ヶ丘,11階,1ＬＤＫ,-,"10,900円",616.4万円,山手線　渋谷,徒歩　5分,（株）朝日・マンション住替センター,1981年（昭和56年） 3月,080-4432-5138
,100137072592,中古マンション,57.31㎡,東京都渋谷区代官山町,専任,"17,300万円",二住,301.9万円,代官山アドレス　ザ・タワー,6階,1ＬＤＫ,公開中,"15,300円",998.0万円,東横線　代官山,徒歩　2分,（株）ケン・コーポレーション　外国部,2000年（平成12年） 8月,050-3187-3652
,100137083717,中古マンション,74.58㎡,東京都渋谷区広尾４丁目,一般,"20,500万円",二中,274.9万円,広尾ガーデンフォレストＡ棟,5階,1ＬＤＫ,-,"38,930円",908.7万円,日比谷線　広尾,徒歩　12分,（株）サードウェーブ・リアルエステート,2008年（平成20年）11月,03-4213-0937
,100137083094,中古マンション,41.39㎡,東京都渋谷区恵比寿南３丁目,売主 オーナーチェンジ,"4,480万円",一中,108.3万円,ハイネス代官山,5階,1ＬＤＫ,-,"14,300円",357.9万円,東横線　代官山,徒歩　4分,（株）赤坂リアルエステート,1979年（昭和54年）12月,03-6379-9175
,100137040064,中古マンション,40.06㎡,東京都渋谷区広尾１丁目,一般,"5,980万円",商業,149.3万円,日興パレス広尾プラザ,3階,ワンルーム,-,"13,080円",493.5万円,山手線　恵比寿,徒歩　9分,（株）ないけんぼーいず,1985年（昭和60年） 3月,070-1304-2510
,100120529275,中古マンション,60.05㎡,東京都渋谷区広尾５丁目,一般,"12,250万円",一住,204.0万円,サンアリーナ広尾,,1ＬＤＫ,-,"20,420円",674.4万円,日比谷線　広尾,徒歩　3分,（株）シーガルプランニング,2013年（平成25年） 5月,0455343542
,100136952832,中古マンション,68.61㎡,東京都渋谷区南平台町,専属,"35,800万円",二低,521.8万円,プレミスト南平台,3階,1ＬＤＫ,公開中,"60,000円","1,725.0万円",山手線　渋谷,徒歩　9分,東急リバブル（株）　ＧＲＡＮＴＡＣＴ渋谷,2024年（令和 6年） 7月,03-6892-7109
,100137068172,中古マンション,52.49㎡,東京都渋谷区神宮前３丁目,専任,"12,680万円",一中,241.6万円,Ｄ’クラディア神宮外苑ハイヴァリー,1階,1ＬＤＫ,公開中,"14,700円",798.6万円,銀座線　外苑前,徒歩　9分,野村不動産ソリューションズ（株）　渋谷営業部,2002年（平成14年）12月,03-5766-2815
,100135929061,中古マンション,47.41㎡,東京都渋谷区渋谷１丁目,売主,"7,999万円",二住,168.8万円,渋谷スカイレジテル,4階,1ＳＬＤＫ,-,"13,010円",557.8万円,山手線　渋谷,徒歩　3分,（株）未来都市開発,1978年（昭和53年） 8月,080-3029-3277
,100136927204,中古マンション,42.81㎡,東京都渋谷区富ヶ谷２丁目,売主,"9,299万円",近商,217.3万円,ヴィーナ・パルテール,3階,1ＬＤＫ,-,"9,850円",718.1万円,小田急線　代々木八幡,徒歩　10分,（株）未来都市開発,2000年（平成12年）12月,080-6613-3195
,100136257221,中古マンション,51.66㎡,東京都渋谷区宇田川町,一般,"9,900万円",商業,191.7万円,ニュー渋谷コーポラス,12階,1ＬＤＫ,-,"19,600円",633.6万円,銀座線　渋谷,徒歩　6分,（株）ＪＭホスエス,1973年（昭和48年） 6月,080-9572-1550
,100137076188,中古マンション,43.04㎡,東京都渋谷区渋谷２丁目,売主,"14,980万円",商業,348.1万円,アトラス青山レジデンシャル,2階,1ＬＤＫ,-,"11,190円","1,150.6万円",半蔵門線　渋谷,徒歩　8分,ミライアス（株）,2023年（令和 5年） 5月,080-5261-6086
,100136835098,中古マンション,57.59㎡,東京都渋谷区代々木４丁目,専任,"12,980万円",二低,225.4万円,パークハウス代々木参宮橋,3階,1ＳＬＤＫ,公開中,"22,028円",745.1万円,小田急線　参宮橋,徒歩　6分,住友不動産ステップ（株）　下北沢営業センター,2009年（平成21年） 5月,050-3112-9795
,100137075714,中古マンション,51.66㎡,東京都渋谷区宇田川町,一般,"9,900万円",商業,191.7万円,ニュー渋谷コーポラス,12階,1ＬＤＫ,-,"15,300円",633.6万円,半蔵門線　渋谷,徒歩　5分,住友不動産ステップ（株）　渋谷第２営業センター,1973年（昭和48年） 6月,050-3112-9803
,100137075343,中古マンション,50.01㎡,東京都渋谷区渋谷１丁目,専任,"11,000万円",商業,220.0万円,ザ・パークハウス渋谷美竹,14階,1ＬＤＫ,公開中,"16,060円",727.2万円,山手線　渋谷,徒歩　5分,（株）宅建,2014年（平成26年） 1月,03-6807-2985
,100137072603,中古マンション,62.76㎡,東京都渋谷区恵比寿西２丁目,専任 オーナーチェンジ,"11,000万円",一住,175.3万円,マートルコート恵比寿南,2階,1ＳＬＤＫ,公開中,"19,460円",579.5万円,山手線　恵比寿,徒歩　3分,（株）ライフデザイナーズ,1997年（平成 9年） 7月,03-3568-6611
,100137073753,中古マンション,56.54㎡,東京都渋谷区千駄ヶ谷３丁目,売主,"11,000万円",二中,194.6万円,ライオンズマンション千駄ヶ谷第二,3階,1ＬＤＫ,-,"21,000円",643.2万円,副都心線　北参道,徒歩　5分,（株）加家Ｃｏｍｐａｎｙ,1983年（昭和58年） 3月,047-401-4216
,100136674709,中古マンション,42.24㎡,東京都渋谷区桜丘町,専任,"9,980万円",二住,236.3万円,セルフィスタ渋谷,8階,ワンルーム,申込あり,"10,240円",781.1万円,山手線　渋谷,徒歩　7分,（株）大京穴吹不動産　渋谷店,2009年（平成21年）12月,03-5464-8211
,100137064237,中古マンション,41.23㎡,東京都渋谷区神宮前２丁目,一般,"7,990万円",二住,193.8万円,パーク・ノヴァ神宮前,3階,ワンルーム,-,"15,000円",640.7万円,山手線　原宿,徒歩　9分,住友不動産ステップ（株）　渋谷マンションプラザ,1986年（昭和61年） 6月,050-3112-9793
,100135521298,中古マンション,41.23㎡,東京都渋谷区神宮前２丁目,専任 オーナーチェンジ,"6,600万円",商業,160.1万円,パーク・ノヴァ神宮前,2階,ワンルーム,公開中,"15,000円",529.2万円,山手線　原宿,徒歩　9分,住友不動産ステップ（株）　渋谷マンションプラザ,1986年（昭和61年） 6月,050-3112-9793
,100137070647,中古マンション,58.65㎡,東京都渋谷区鶯谷町,一般,"24,489万円",二低,417.6万円,センチュリーフォレスト　１棟,2階,1ＬＤＫ,-,"19,900円","1,380.4万円",山手線　渋谷,徒歩　10分,（株）ケン・コーポレーション　渋谷代官山支店,2011年（平成23年） 8月,03-5720-8160
,300131716048,中古マンション,43.75㎡,東京都渋谷区円山町,売主,"5,555万円",商業,127.0万円,第１８宮庭マンション,6階,1ＬＤＫ,-,"10,600円",419.8万円,山手線　渋谷,徒歩　10分,（有）あさひ住宅サービス,1973年（昭和48年） 4月,078-708-0023
,100135732811,中古マンション,48.00㎡,東京都渋谷区代々木１丁目,売主,"9,980万円",商業,208.0万円,シティハウス代々木,12階,1ＬＤＫ,-,"13,490円",687.4万円,山手線　代々木,徒歩　3分,（株）大京穴吹不動産　アセット事業部,2004年（平成16年）11月,050-3628-8514
,100135984409,中古マンション,61.84㎡,東京都渋谷区恵比寿３丁目,専任,"12,900万円",一住,208.7万円,朝日マンション白金通り,4階,1ＳＬＤＫ,公開中,"14,200円",689.6万円,南北線　白金台,徒歩　12分,三井不動産リアルティ（株）三井のリハウス目黒センター,1998年（平成10年） 4月,03-3490-4141
,100137067502,中古マンション,98.59㎡,東京都渋谷区神宮前６丁目,売主,"73,800万円",二中,748.6万円,プラウド神宮前,5階,1ＬＤＫ,-,"110,520円","2,474.6万円",山手線　原宿,徒歩　4分,（株）ランドネット　渋谷支店,2024年（令和 6年）10月,03-3409-1308
,100136609406,中古マンション,43.77㎡,東京都渋谷区南平台町,専任 オーナーチェンジ,"4,380万円",二住,100.1万円,秀和第二南平台レジデンス,1階,ワンルーム,申込あり,"6,900円",330.9万円,山手線　渋谷,徒歩　10分,野村不動産ソリューションズ（株）　渋谷営業部,1970年（昭和45年） 9月,03-5766-2814
,100135360516,中古マンション,45.26㎡,東京都渋谷区桜丘町,専任,"12,980万円",商業,286.8万円,ピアース渋谷,3階,1ＳＬＤＫ,申込あり,"15,400円",948.1万円,山手線　渋谷,徒歩　6分,三井不動産リアルティ（株）三井のリハウス渋谷センター,2022年（令和 4年）11月,03-6332-7810
,100136879253,中古マンション,46.43㎡,東京都渋谷区宇田川町,専任,"17,980万円",商業,387.3万円,アトラス渋谷公園通り,7階,1ＬＤＫ,公開中,"13,000円","1,280.2万円",田園都市線　渋谷,徒歩　5分,住友不動産ステップ（株）　渋谷マンションプラザ,2013年（平成25年）10月,050-3112-9793
,100136964194,中古マンション,53.38㎡,東京都渋谷区神宮前１丁目,専属,"8,800万円",二中,164.9万円,パークコート神宮前,8階,1ＬＤＫ,公開中,"17,990円",545.0万円,山手線　原宿,徒歩　6分,東急リバブル（株）　ＧＲＡＮＴＡＣＴ渋谷,2009年（平成21年） 1月,03-6892-7109
,100137042081,中古マンション,70.51㎡,東京都渋谷区渋谷１丁目,一般,"14,990万円",二住,212.6万円,渋谷美竹ハイム,6階,1ＬＤＫ,-,"19,120円",702.8万円,半蔵門線　渋谷,徒歩　3分,オークラヤ住宅（株）　渋谷営業所,1980年（昭和55年） 7月,03-4235-2021
,100136941864,中古マンション,47.67㎡,東京都渋谷区恵比寿南２丁目,一般,"9,480万円",一住,198.9万円,ルジェンテ恵比寿,2階,1ＬＤＫ,-,"16,700円",657.5万円,山手線　恵比寿,徒歩　5分,（株）大京穴吹不動産　渋谷店,2021年（令和 3年） 1月,03-5464-8211
,100135231654,中古マンション,49.43㎡,東京都渋谷区広尾１丁目,一般,"8,750万円",商業,177.1万円,朝日広尾マンション,6階,1ＬＤＫ,-,"10,890円",585.2万円,山手線　恵比寿,徒歩　8分,（株）クオーレ,1987年（昭和62年） 1月,050-3184-1617
,100136328580,中古マンション,54.19㎡,東京都渋谷区恵比寿１丁目,専任,"8,990万円",近商,165.9万円,セーシェル恵比寿,1階,1ＤＫ,公開中,"17,600円",548.5万円,山手線　恵比寿,徒歩　9分,野村不動産ソリューションズ（株）　麻布営業部,2003年（平成15年）11月,03-5444-2281
,100136891357,中古マンション,43.97㎡,東京都渋谷区本町１丁目,専任,"4,980万円",一住,113.3万円,サンシャインコーポベル初台,1階,ワンルーム,公開中,"8,000円",374.5万円,京王線　初台,徒歩　5分,住友不動産ステップ（株）　駒沢営業センター,1978年（昭和53年）11月,050-3112-9817
,100137052986,中古マンション,70.25㎡,東京都渋谷区渋谷１丁目,一般,"14,990万円",二中,213.4万円,渋谷美竹ハイム,6階,1ＬＤＫ,-,"19,120円",705.4万円,半蔵門線　渋谷,徒歩　3分,住商レジデンシャル（株）　首都圏営業センター,1980年（昭和55年） 8月,03-5547-9111
,100135523177,中古マンション,43.64㎡,東京都渋谷区恵比寿２丁目,専属,"7,480万円",準工,171.5万円,リ・プレゼ恵比寿,2階,1ＬＤＫ,申込あり,"15,300円",566.7万円,日比谷線　広尾,徒歩　7分,東急リバブル（株）　恵比寿センター,2004年（平成16年） 3月,03-5794-9109
,100136903603,中古マンション,56.21㎡,東京都渋谷区神宮前６丁目,一般 オーナーチェンジ,"24,000万円",二中,427.0万円,コープオリンピア,4階,ワンルーム,-,"19,924円","1,411.5万円",山手線　原宿,徒歩　2分,（株）ランドネット,1965年（昭和40年） 3月,03-3986-3601
,100137040962,中古マンション,43.44㎡,東京都渋谷区松濤２丁目,売主,"9,999万円",二住,230.2万円,モデルノトッレ松濤,3階,1ＬＤＫ,-,"6,700円",761.0万円,井の頭線　神泉,徒歩　7分,（株）未来都市開発,2008年（平成20年） 1月,070-9024-3788
,100137025895,中古マンション,44.45㎡,東京都渋谷区神宮前５丁目,売主,"13,900万円",二住,312.8万円,神宮前シティハウス,2階,1ＬＤＫ,-,"17,000円","1,033.8万円",山手線　渋谷,徒歩　9分,（株）トラスト,1999年（平成11年） 2月,03-6263-2645
,100137013290,中古マンション,57.51㎡,東京都渋谷区大山町,専属,"13,500万円",二中,234.8万円,オープンレジデンシア代々木大山,3階,1ＳＬＤＫ,公開中,"11,224円",776.1万円,千代田線　代々木上原,徒歩　5分,三井不動産リアルティ（株）三井のリハウス代々木上原センター,2019年（令和 1年） 8月,03-3460-3131
,100137040439,中古マンション,58.47㎡,東京都渋谷区代々木５丁目,売主,"9,500万円",準住,162.5万円,サンクタス代々木ヒルズ,,1ＬＤＫ,-,"13,680円",537.2万円,京王線　初台,徒歩　7分,（株）Ｐｕｒｓｕｅｒｓ,1998年（平成10年） 1月,08012074184
,100136975035,中古マンション,46.60㎡,東京都渋谷区渋谷２丁目,専任 オーナーチェンジ,"23,500万円",商業,504.3万円,宮益坂ビルディング　ザ・渋谷レジデンス,15階,1ＬＤＫ,公開中,"23,250円","1,667.1万円",銀座線　渋谷,徒歩　1分,東急リバブル（株）　ＧＲＡＮＴＡＣＴ渋谷,2020年（令和 2年） 7月,03-6892-7109
,100137028126,中古マンション,41.54㎡,東京都渋谷区円山町,専任,"8,680万円",商業,209.0万円,ライオンズマンション渋谷道玄坂,7階,1ＬＤＫ,公開中,"5,000円",690.8万円,井の頭線　神泉,徒歩　2分,野村不動産ソリューションズ（株）　渋谷営業部,1999年（平成11年） 5月,03-5766-2814
,100135945910,中古マンション,60.00㎡,東京都渋谷区元代々木町,専属,"16,280万円",一低,271.4万円,プラウド元代々木町,1階,1ＬＤＫ,公開中,"35,900円",897.0万円,小田急線　代々木上原,徒歩　9分,野村不動産ソリューションズ（株）　自由が丘営業部,2021年（令和 3年） 9月,03-3725-0841
,100135360515,中古マンション,42.15㎡,東京都渋谷区代官山町,専任,"9,980万円",一住,236.8万円,オープンレジデンシア代官山ザ・ハウス,1階,1ＬＤＫ,申込あり,"13,400円",782.8万円,東横線　代官山,徒歩　5分,三井不動産リアルティ（株）三井のリハウス渋谷センター,2018年（平成30年）11月,03-6332-7810
,100137022665,中古マンション,46.59㎡,東京都渋谷区本町１丁目,売主,"5,799万円",一住,124.5万円,メゾンヴェール幡ヶ谷,1階,1ＬＤＫ,-,"15,590円",411.5万円,京王線　幡ヶ谷,徒歩　5分,（株）エンリード不動産,2004年（平成16年） 2月,050-5783-2135
,100137038014,中古マンション,66.41㎡,東京都渋谷区猿楽町,売主,"12,555万円",二中,189.1万円,サンビューハイツ渋谷,4階,1ＳＬＤＫ,-,"13,300円",625.0万円,東横線　代官山,徒歩　8分,（株）ジェクトワン,1976年（昭和51年）11月,03-6427-9830
,100136716505,中古マンション,45.67㎡,東京都渋谷区西原１丁目,売主,"6,299万円",一住,138.0万円,代々木フラワーマンション,4階,1ＬＤＫ,-,"7,465円",456.0万円,千代田線　代々木上原,徒歩　6分,（株）西家,1969年（昭和44年） 1月,080-3251-8385
,100136396101,中古マンション,48.52㎡,東京都渋谷区恵比寿４丁目,専任,"6,980万円",商業,143.9万円,第２エビスハイツ,1階,1ＬＤＫ,公開中,"16,106円",475.6万円,山手線　恵比寿,徒歩　4分,（株）Ａｌｍａ　Ｆａｍｉｌｉａ,1968年（昭和43年） 4月,03-6300-6004
,100135842884,中古マンション,50.88㎡,東京都渋谷区千駄ヶ谷４丁目,専任,"6,980万円",商業,137.2万円,シャトレー代々木,4階,1ＬＤＫ,公開中,"13,120円",453.6万円,山手線　代々木,徒歩　4分,（株）サムタイムズ,1976年（昭和51年） 7月,090-8494-6694
,100135642883,中古マンション,40.85㎡,東京都渋谷区広尾１丁目,代理,"6,080万円",商業,148.9万円,朝日広尾マンション,8階,1ＤＫ,-,"9,020円",492.1万円,山手線　恵比寿,徒歩　8分,ＴＲＵＳＴＹ不動産（株）,1987年（昭和62年） 1月,080-8426-2631
,100136889602,中古マンション,50.39㎡,東京都渋谷区代々木４丁目,専属 オーナーチェンジ,"4,580万円",二中,90.9万円,ニュー代々木マンション,5階,1ＬＤＫ,公開中,"7,600円",300.5万円,小田急線　参宮橋,徒歩　5分,東急リバブル（株）　成城センター,1970年（昭和45年） 6月,03-3415-2101
,100136749499,中古マンション,40.96㎡,東京都渋谷区初台１丁目,専属,"5,750万円",一低,140.4万円,オープンレジデンシア初台,1階,1ＬＤＫ,申込あり,"9,124円",464.1万円,京王線　初台,徒歩　4分,東急リバブル（株）　成城センター,2016年（平成28年） 6月,03-3415-2101
,100137034188,中古マンション,55.59㎡,東京都渋谷区広尾４丁目,売主,"21,980万円",二中,395.4万円,広尾ガーデンヒルズ　Ｊ棟,2階,1ＬＤＫ,-,"13,840円","1,307.1万円",日比谷線　広尾,徒歩　5分,フォレストガーデン（株）,1985年（昭和60年） 7月,03-3588-7771
