差分ID,物件番号,差分検出日,更新フィールド,更新前,更新後
20251213_1006,100134757716,2025-12-13,築年月,2015年（平成27年） 9月,2015年（平成27年） 9月
20251213_1007,100134757719,2025-12-13,築年月,1969年（昭和44年） 4月,1969年（昭和44年） 4月
20251213_1008,100134761866,2025-12-13,築年月,2016年（平成28年） 3月,2016年（平成28年） 3月
20251213_1009,100134763913,2025-12-13,築年月,2020年（令和 2年） 7月,2020年（令和 2年） 7月
20251213_1010,100134763918,2025-12-13,築年月,1991年（平成 3年）12月,1991年（平成 3年）12月
20251213_1011,100134767116,2025-12-13,築年月,2004年（平成16年） 2月,2004年（平成16年） 2月
20251213_1012,100134768101,2025-12-13,築年月,2009年（平成21年） 6月,2009年（平成21年） 6月
20251213_1013,100134768153,2025-12-13,築年月,2021年（令和 3年） 4月,2021年（令和 3年） 4月
20251213_1014,100134769268,2025-12-13,築年月,1973年（昭和48年） 8月,1973年（昭和48年） 8月
20251213_1015,100134774015,2025-12-13,築年月,2023年（令和 5年） 7月,2023年（令和 5年） 7月
20251213_1016,100134775568,2025-12-13,築年月,2005年（平成17年） 2月,2005年（平成17年） 2月
20251213_1017,100134778185,2025-12-13,築年月,2016年（平成28年） 5月,2016年（平成28年） 5月
20251213_1018,100134778441,2025-12-13,築年月,2023年（令和 5年） 1月,2023年（令和 5年） 1月
20251213_1019,100134788055,2025-12-13,築年月,2019年（平成31年） 2月,2019年（平成31年） 2月
20251213_1020,100134788819,2025-12-13,築年月,1979年（昭和54年） 6月,1979年（昭和54年） 6月
20251213_1021,100134791654,2025-12-13,築年月,2003年（平成15年） 2月,2003年（平成15年） 2月
20251213_1022,100134801067,2025-12-13,築年月,1997年（平成 9年） 1月,1997年（平成 9年） 1月
20251213_1023,100134808491,2025-12-13,築年月,1998年（平成10年） 6月,1998年（平成10年） 6月
20251213_1024,100134811938,2025-12-13,築年月,2016年（平成28年） 3月,2016年（平成28年） 3月
20251213_1025,100134817270,2025-12-13,築年月,1980年（昭和55年） 7月,1980年（昭和55年） 7月
20251213_1026,100134817272,2025-12-13,築年月,2008年（平成20年） 1月,2008年（平成20年） 1月
20251213_1027,100134820107,2025-12-13,築年月,2025年（令和 7年） 6月,2025年（令和 7年） 6月
20251213_1028,100134820779,2025-12-13,築年月,2012年（平成24年） 2月,2012年（平成24年） 2月
20251213_1029,100134826498,2025-12-13,築年月,1979年（昭和54年） 4月,1979年（昭和54年） 4月
20251213_1030,100134826708,2025-12-13,築年月,2025年（令和 7年）10月,2025年（令和 7年）10月
20251213_1031,100134827045,2025-12-13,築年月,2009年（平成21年） 6月,2009年（平成21年） 6月
20251213_1032,100134827108,2025-12-13,築年月,2019年（平成31年） 2月,2019年（平成31年） 2月
20251213_1033,100134828356,2025-12-13,築年月,2023年（令和 5年） 8月,2023年（令和 5年） 8月
20251213_1034,100134832104,2025-12-13,築年月,2025年（令和 7年） 6月,2025年（令和 7年） 6月
20251213_1035,100134833656,2025-12-13,築年月,2014年（平成26年） 5月,2014年（平成26年） 5月
20251213_1036,100134836390,2025-12-13,築年月,2013年（平成25年） 1月,2013年（平成25年） 1月
20251213_1037,100134838330,2025-12-13,築年月,2017年（平成29年） 8月,2017年（平成29年） 8月
20251213_1038,100134841723,2025-12-13,築年月,2019年（平成31年） 1月,2019年（平成31年） 1月
20251213_1039,100134843777,2025-12-13,築年月,2023年（令和 5年） 1月,2023年（令和 5年） 1月
20251213_1040,100134843803,2025-12-13,築年月,2014年（平成26年） 7月,2014年（平成26年） 7月
20251213_1041,100134846105,2025-12-13,築年月,2017年（平成29年） 8月,2017年（平成29年） 8月
20251213_1042,100134846475,2025-12-13,築年月,2008年（平成20年） 1月,2008年（平成20年） 1月
20251213_1043,100134847519,2025-12-13,築年月,2022年（令和 4年） 1月,2022年（令和 4年） 1月
20251213_1044,100134847564,2025-12-13,築年月,2000年（平成12年） 5月,2000年（平成12年） 5月
20251213_1045,100134851208,2025-12-13,築年月,2024年（令和 6年）11月,2024年（令和 6年）11月
20251213_1046,100134851267,2025-12-13,築年月,1991年（平成 3年） 7月,1991年（平成 3年） 7月
20251213_1047,100134856735,2025-12-13,築年月,2021年（令和 3年） 2月,2021年（令和 3年） 2月
20251213_1048,100134858594,2025-12-13,築年月,2009年（平成21年） 6月,2009年（平成21年） 6月
20251213_1049,100134859944,2025-12-13,築年月,1991年（平成 3年） 7月,1991年（平成 3年） 7月
20251213_1050,100134862855,2025-12-13,築年月,2012年（平成24年） 3月,2012年（平成24年） 3月
20251213_1051,100134863217,2025-12-13,築年月,1990年（平成 2年） 6月,1990年（平成 2年） 6月
20251213_1052,100134866993,2025-12-13,築年月,1991年（平成 3年） 7月,1991年（平成 3年） 7月
20251213_1053,100134872728,2025-12-13,築年月,2023年（令和 5年） 8月,2023年（令和 5年） 8月
20251213_1054,100134874483,2025-12-13,築年月,2017年（平成29年） 9月,2017年（平成29年） 9月
20251213_1055,100134874961,2025-12-13,築年月,1977年（昭和52年） 3月,1977年（昭和52年） 3月
20251213_1056,100134875589,2025-12-13,㎡単価,378.3万円,375.4万円
20251213_1056,100134875589,2025-12-13,価格,"26,000万円","25,800万円"
20251213_1056,100134875589,2025-12-13,坪単価,"1,250.4万円","1,240.8万円"
20251213_1056,100134875589,2025-12-13,築年月,2014年（平成26年） 3月,2014年（平成26年） 3月
20251213_1057,100134878366,2025-12-13,築年月,2025年（令和 7年） 3月,2025年（令和 7年） 3月
20251213_1058,100134878380,2025-12-13,築年月,2020年（令和 2年） 1月,2020年（令和 2年） 1月
20251213_1059,100134883779,2025-12-13,築年月,1981年（昭和56年） 8月,1981年（昭和56年） 8月
20251213_1060,100134889827,2025-12-13,築年月,2019年（平成31年） 2月,2019年（平成31年） 2月
20251213_1061,100134901389,2025-12-13,築年月,2019年（平成31年） 2月,2019年（平成31年） 2月
20251213_1062,100134902785,2025-12-13,築年月,2019年（平成31年） 1月,2019年（平成31年） 1月
20251213_1063,100134902786,2025-12-13,築年月,2019年（平成31年） 1月,2019年（平成31年） 1月
20251213_1064,100134906508,2025-12-13,築年月,2000年（平成12年） 1月,2000年（平成12年） 1月
20251213_1065,100134906561,2025-12-13,築年月,2017年（平成29年） 8月,2017年（平成29年） 8月
20251213_1066,100134906563,2025-12-13,築年月,2025年（令和 7年） 7月,2025年（令和 7年） 7月
20251213_1067,100134906565,2025-12-13,築年月,1968年（昭和43年） 8月,1968年（昭和43年） 8月
20251213_1068,100134910546,2025-12-13,築年月,2017年（平成29年） 8月,2017年（平成29年） 8月
20251213_1069,100134911503,2025-12-13,築年月,1984年（昭和59年） 9月,1984年（昭和59年） 9月
20251213_1070,100134911506,2025-12-13,築年月,2013年（平成25年） 2月,2013年（平成25年） 2月
20251213_1071,100134913073,2025-12-13,築年月,1983年（昭和58年） 9月,1983年（昭和58年） 9月
20251213_1072,100134913085,2025-12-13,築年月,1988年（昭和63年） 8月,1988年（昭和63年） 8月
20251213_1073,100134913120,2025-12-13,築年月,1985年（昭和60年） 9月,1985年（昭和60年） 9月
20251213_1074,100134913584,2025-12-13,築年月,2023年（令和 5年） 8月,2023年（令和 5年） 8月
20251213_1075,100134914582,2025-12-13,築年月,2023年（令和 5年） 1月,2023年（令和 5年） 1月
20251213_1076,100134914796,2025-12-13,築年月,2015年（平成27年） 9月,2015年（平成27年） 9月
20251213_1077,100134915172,2025-12-13,築年月,1990年（平成 2年）10月,1990年（平成 2年）10月
20251213_1078,100134917090,2025-12-13,築年月,2004年（平成16年） 9月,2004年（平成16年） 9月
20251213_1079,100134917234,2025-12-13,築年月,2023年（令和 5年） 8月,2023年（令和 5年） 8月
20251213_1080,100134917990,2025-12-13,築年月,2022年（令和 4年） 8月,2022年（令和 4年） 8月
20251213_1081,100134918793,2025-12-13,築年月,2020年（令和 2年） 7月,2020年（令和 2年） 7月
20251213_1082,100134923412,2025-12-13,築年月,2018年（平成30年） 1月,2018年（平成30年） 1月
20251213_1083,100134923465,2025-12-13,築年月,2015年（平成27年） 9月,2015年（平成27年） 9月
20251213_1084,100134926005,2025-12-13,築年月,2015年（平成27年） 8月,2015年（平成27年） 8月
20251213_1085,100134928916,2025-12-13,築年月,1978年（昭和53年） 8月,1978年（昭和53年） 8月
20251213_1086,100134929508,2025-12-13,築年月,1992年（平成 4年） 2月,1992年（平成 4年） 2月
20251213_1087,100134930775,2025-12-13,築年月,1983年（昭和58年） 9月,1983年（昭和58年） 9月
20251213_1088,100134931691,2025-12-13,築年月,2025年（令和 7年）10月,2025年（令和 7年）10月
20251213_1089,100134936160,2025-12-13,築年月,2008年（平成20年） 4月,2008年（平成20年） 4月
20251213_1090,100134936217,2025-12-13,㎡単価,346.9万円,339.8万円
20251213_1090,100134936217,2025-12-13,価格,"24,300万円","23,800万円"
20251213_1090,100134936217,2025-12-13,坪単価,"1,146.8万円","1,123.2万円"
20251213_1090,100134936217,2025-12-13,築年月,2015年（平成27年） 4月,2015年（平成27年） 4月
20251213_1091,100134940550,2025-12-13,築年月,2015年（平成27年） 9月,2015年（平成27年） 9月
20251213_1092,100134942601,2025-12-13,築年月,1999年（平成11年） 3月,1999年（平成11年） 3月
20251213_1093,100134942645,2025-12-13,築年月,2001年（平成13年） 5月,2001年（平成13年） 5月
20251213_1094,100134944187,2025-12-13,築年月,1974年（昭和49年） 3月,1974年（昭和49年） 3月
20251213_1095,100134944188,2025-12-13,築年月,1972年（昭和47年） 3月,1972年（昭和47年） 3月
20251213_1096,100134944861,2025-12-13,築年月,1976年（昭和51年） 6月,1976年（昭和51年） 6月
20251213_1097,100134946635,2025-12-13,築年月,2014年（平成26年） 5月,2014年（平成26年） 5月
20251213_1098,100134946645,2025-12-13,築年月,2015年（平成27年） 4月,2015年（平成27年） 4月
20251213_1099,100134947974,2025-12-13,築年月,2016年（平成28年） 9月,2016年（平成28年） 9月
20251213_1100,100134947980,2025-12-13,築年月,2016年（平成28年） 9月,2016年（平成28年） 9月
20251213_1101,100134951011,2025-12-13,築年月,2016年（平成28年） 5月,2016年（平成28年） 5月
20251213_1102,100134951025,2025-12-13,築年月,2023年（令和 5年）11月,2023年（令和 5年）11月
20251213_1103,100134956211,2025-12-13,築年月,1989年（平成 1年） 3月,1989年（平成 1年） 3月
20251213_1104,100134956240,2025-12-13,築年月,2004年（平成16年） 8月,2004年（平成16年） 8月
20251213_1105,100134957024,2025-12-13,築年月,1980年（昭和55年） 3月,1980年（昭和55年） 3月
20251213_1106,100134958282,2025-12-13,築年月,2005年（平成17年） 8月,2005年（平成17年） 8月
20251213_1107,100134959021,2025-12-13,築年月,2015年（平成27年） 4月,2015年（平成27年） 4月
20251213_1108,100134959143,2025-12-13,築年月,2026年（令和 8年）12月,2026年（令和 8年）12月
20251213_1109,100134959225,2025-12-13,築年月,2023年（令和 5年） 7月,2023年（令和 5年） 7月
20251213_1110,100134959816,2025-12-13,築年月,2016年（平成28年） 4月,2016年（平成28年） 4月
20251213_1111,100134959872,2025-12-13,築年月,2014年（平成26年） 1月,2014年（平成26年） 1月
20251213_1112,100134961626,2025-12-13,築年月,2015年（平成27年） 4月,2015年（平成27年） 4月
20251213_1113,100134962358,2025-12-13,築年月,2005年（平成17年） 5月,2005年（平成17年） 5月
20251213_1114,100134962607,2025-12-13,築年月,2022年（令和 4年） 9月,2022年（令和 4年） 9月
20251213_1115,100134969719,2025-12-13,築年月,1991年（平成 3年）12月,1991年（平成 3年）12月
20251213_1116,100134974295,2025-12-13,築年月,2013年（平成25年） 7月,2013年（平成25年） 7月
20251213_1117,100134974376,2025-12-13,築年月,2025年（令和 7年） 5月,2025年（令和 7年） 5月
20251213_1118,100134974737,2025-12-13,築年月,2025年（令和 7年） 6月,2025年（令和 7年） 6月
20251213_1119,100134975140,2025-12-13,築年月,2025年（令和 7年） 6月,2025年（令和 7年） 6月
20251213_1120,100134976728,2025-12-13,築年月,2026年（令和 8年）11月,2026年（令和 8年）11月
20251213_1121,100134977473,2025-12-13,築年月,2024年（令和 6年）12月,2024年（令和 6年）12月
20251213_1122,100134988587,2025-12-13,築年月,2024年（令和 6年）12月,2024年（令和 6年）12月
20251213_1123,100134989562,2025-12-13,築年月,1997年（平成 9年） 9月,1997年（平成 9年） 9月
20251213_1124,100134989630,2025-12-13,築年月,2021年（令和 3年） 8月,2021年（令和 3年） 8月
20251213_1125,100134990660,2025-12-13,築年月,2020年（令和 2年） 7月,2020年（令和 2年） 7月
20251213_1126,100135011682,2025-12-13,築年月,2017年（平成29年） 8月,2017年（平成29年） 8月
20251213_1127,100135013838,2025-12-13,築年月,2004年（平成16年） 2月,2004年（平成16年） 2月
20251213_1128,100135014419,2025-12-13,築年月,2025年（令和 7年） 3月,2025年（令和 7年） 3月
20251213_1129,100135014616,2025-12-13,築年月,2023年（令和 5年） 1月,2023年（令和 5年） 1月
20251213_1130,100135015290,2025-12-13,築年月,2021年（令和 3年） 8月,2021年（令和 3年） 8月
20251213_1131,100135015439,2025-12-13,築年月,2023年（令和 5年）11月,2023年（令和 5年）11月
20251213_1132,100135016252,2025-12-13,築年月,2025年（令和 7年） 3月,2025年（令和 7年） 3月
20251213_1133,100135016377,2025-12-13,築年月,2025年（令和 7年） 3月,2025年（令和 7年） 3月
20251213_1134,100135018675,2025-12-13,築年月,2023年（令和 5年） 1月,2023年（令和 5年） 1月
20251213_1135,100135021173,2025-12-13,築年月,2024年（令和 6年）10月,2024年（令和 6年）10月
20251213_1136,100135021310,2025-12-13,築年月,1965年（昭和40年） 3月,1965年（昭和40年） 3月
20251213_1137,100135022017,2025-12-13,築年月,1981年（昭和56年） 4月,1981年（昭和56年） 4月
20251213_1138,100135022059,2025-12-13,築年月,2019年（平成31年） 2月,2019年（平成31年） 2月
20251213_1139,100135024426,2025-12-13,築年月,2025年（令和 7年） 5月,2025年（令和 7年） 5月
20251213_1140,100135027225,2025-12-13,築年月,1981年（昭和56年） 2月,1981年（昭和56年） 2月
20251213_1141,100135029473,2025-12-13,築年月,1980年（昭和55年） 9月,1980年（昭和55年） 9月
20251213_1142,100135038500,2025-12-13,築年月,2005年（平成17年） 5月,2005年（平成17年） 5月
20251213_1143,100135039593,2025-12-13,築年月,2012年（平成24年） 2月,2012年（平成24年） 2月
20251213_1144,100135039613,2025-12-13,築年月,2024年（令和 6年）11月,2024年（令和 6年）11月
20251213_1145,100135040700,2025-12-13,築年月,2021年（令和 3年） 2月,2021年（令和 3年） 2月
20251213_1146,100135040728,2025-12-13,築年月,2025年（令和 7年） 6月,2025年（令和 7年） 6月
20251213_1147,100135040767,2025-12-13,築年月,1982年（昭和57年） 7月,1982年（昭和57年） 7月
20251213_1148,100135041352,2025-12-13,築年月,1999年（平成11年） 2月,1999年（平成11年） 2月
20251213_1149,100135045872,2025-12-13,築年月,2015年（平成27年） 9月,2015年（平成27年） 9月
20251213_1150,100135045976,2025-12-13,㎡単価,118.8万円,114.9万円
20251213_1150,100135045976,2025-12-13,価格,"3,080万円","2,980万円"
20251213_1150,100135045976,2025-12-13,坪単価,392.6万円,379.8万円
20251213_1150,100135045976,2025-12-13,築年月,2004年（平成16年） 4月,2004年（平成16年） 4月
20251213_1151,100135047928,2025-12-13,築年月,2024年（令和 6年）10月,2024年（令和 6年）10月
20251213_1152,100135050511,2025-12-13,築年月,2018年（平成30年） 5月,2018年（平成30年） 5月
20251213_1153,100135050907,2025-12-13,築年月,2024年（令和 6年） 6月,2024年（令和 6年） 6月
20251213_1154,100135051979,2025-12-13,築年月,2009年（平成21年） 3月,2009年（平成21年） 3月
20251213_1155,100135054952,2025-12-13,築年月,2009年（平成21年） 3月,2009年（平成21年） 3月
20251213_1156,100135058112,2025-12-13,築年月,2006年（平成18年） 2月,2006年（平成18年） 2月
20251213_1157,100135059539,2025-12-13,築年月,2009年（平成21年） 2月,2009年（平成21年） 2月
20251213_1158,100135059943,2025-12-13,築年月,2000年（平成12年） 1月,2000年（平成12年） 1月
20251213_1159,100135060785,2025-12-13,築年月,1991年（平成 3年） 7月,1991年（平成 3年） 7月
20251213_1160,100135060854,2025-12-13,築年月,2020年（令和 2年） 7月,2020年（令和 2年） 7月
20251213_1161,100135066928,2025-12-13,築年月,2009年（平成21年） 2月,2009年（平成21年） 2月
20251213_1162,100135066932,2025-12-13,築年月,2023年（令和 5年） 8月,2023年（令和 5年） 8月
20251213_1163,100135070916,2025-12-13,築年月,1978年（昭和53年） 2月,1978年（昭和53年） 2月
20251213_1164,100135071849,2025-12-13,築年月,1982年（昭和57年） 7月,1982年（昭和57年） 7月
20251213_1165,100135071856,2025-12-13,築年月,2016年（平成28年） 3月,2016年（平成28年） 3月
20251213_1166,100135072500,2025-12-13,築年月,2025年（令和 7年）10月,2025年（令和 7年）10月
20251213_1167,100135078026,2025-12-13,築年月,2006年（平成18年） 3月,2006年（平成18年） 3月
20251213_1168,100135078926,2025-12-13,築年月,2015年（平成27年） 5月,2015年（平成27年） 5月
20251213_1169,100135081853,2025-12-13,築年月,2025年（令和 7年） 3月,2025年（令和 7年） 3月
20251213_1170,100135081854,2025-12-13,築年月,2025年（令和 7年） 3月,2025年（令和 7年） 3月
20251213_1171,100135084390,2025-12-13,築年月,2003年（平成15年） 1月,2003年（平成15年） 1月
20251213_1172,100135084620,2025-12-13,築年月,1970年（昭和45年） 6月,1970年（昭和45年） 6月
20251213_1173,100135087627,2025-12-13,㎡単価,343.7万円,331.8万円
20251213_1173,100135087627,2025-12-13,価格,"28,800万円","27,800万円"
20251213_1173,100135087627,2025-12-13,坪単価,"1,136.2万円","1,096.7万円"
20251213_1174,100135087737,2025-12-13,築年月,1980年（昭和55年） 3月,1980年（昭和55年） 3月
20251213_1175,100135087922,2025-12-13,築年月,2019年（平成31年） 2月,2019年（平成31年） 2月
20251213_1176,100135088881,2025-12-13,築年月,1998年（平成10年） 2月,1998年（平成10年） 2月
20251213_1177,100135089346,2025-12-13,築年月,2025年（令和 7年） 3月,2025年（令和 7年） 3月
20251213_1178,100135091050,2025-12-13,築年月,2000年（平成12年） 2月,2000年（平成12年） 2月
20251213_1179,100135093420,2025-12-13,築年月,2025年（令和 7年） 6月,2025年（令和 7年） 6月
20251213_1180,100135096076,2025-12-13,築年月,1979年（昭和54年） 1月,1979年（昭和54年） 1月
20251213_1181,100135100044,2025-12-13,築年月,2020年（令和 2年） 7月,2020年（令和 2年） 7月
20251213_1182,100135101078,2025-12-13,築年月,2019年（平成31年） 2月,2019年（平成31年） 2月
20251213_1183,100135104387,2025-12-13,築年月,2009年（平成21年） 3月,2009年（平成21年） 3月
20251213_1184,100135109520,2025-12-13,築年月,2014年（平成26年） 5月,2014年（平成26年） 5月
20251213_1185,100135110273,2025-12-13,築年月,2008年（平成20年） 8月,2008年（平成20年） 8月
20251213_1186,100135110297,2025-12-13,築年月,2007年（平成19年） 8月,2007年（平成19年） 8月
20251213_1187,100135110694,2025-12-13,築年月,2018年（平成30年） 2月,2018年（平成30年） 2月
20251213_1188,100135111882,2025-12-13,築年月,1997年（平成 9年） 6月,1997年（平成 9年） 6月
20251213_1189,100135113435,2025-12-13,築年月,2001年（平成13年） 8月,2001年（平成13年） 8月
20251213_1190,100135113442,2025-12-13,築年月,1976年（昭和51年） 3月,1976年（昭和51年） 3月
20251213_1191,100135114756,2025-12-13,築年月,2023年（令和 5年） 2月,2023年（令和 5年） 2月
20251213_1192,100135116251,2025-12-13,築年月,2025年（令和 7年） 6月,2025年（令和 7年） 6月
20251213_1193,100135116371,2025-12-13,築年月,1974年（昭和49年） 1月,1974年（昭和49年） 1月
20251213_1194,100135116642,2025-12-13,築年月,2000年（平成12年） 3月,2000年（平成12年） 3月
20251213_1195,100135116689,2025-12-13,築年月,2025年（令和 7年） 6月,2025年（令和 7年） 6月
20251213_1196,100135117040,2025-12-13,築年月,1984年（昭和59年） 6月,1984年（昭和59年） 6月
20251213_1197,100135118474,2025-12-13,築年月,2024年（令和 6年）12月,2024年（令和 6年）12月
20251213_1198,100135118698,2025-12-13,築年月,2023年（令和 5年） 9月,2023年（令和 5年） 9月
20251213_1199,100135119280,2025-12-13,築年月,2024年（令和 6年） 3月,2024年（令和 6年） 3月
20251213_1200,100135121810,2025-12-13,築年月,1979年（昭和54年） 2月,1979年（昭和54年） 2月
20251213_1201,100135123853,2025-12-13,築年月,2004年（平成16年） 9月,2004年（平成16年） 9月
20251213_1202,100135126255,2025-12-13,築年月,2015年（平成27年） 9月,2015年（平成27年） 9月
20251213_1203,100135126257,2025-12-13,築年月,2021年（令和 3年） 4月,2021年（令和 3年） 4月
20251213_1204,100135126998,2025-12-13,築年月,2003年（平成15年） 6月,2003年（平成15年） 6月
20251213_1205,100135127026,2025-12-13,築年月,1988年（昭和63年） 3月,1988年（昭和63年） 3月
20251213_1206,100135130311,2025-12-13,築年月,2001年（平成13年） 8月,2001年（平成13年） 8月
20251213_1207,100135130995,2025-12-13,築年月,2008年（平成20年） 4月,2008年（平成20年） 4月
20251213_1208,100135132652,2025-12-13,築年月,1978年（昭和53年） 9月,1978年（昭和53年） 9月
20251213_1209,100135133604,2025-12-13,築年月,1977年（昭和52年） 3月,1977年（昭和52年） 3月
20251213_1210,100135140070,2025-12-13,築年月,2011年（平成23年） 7月,2011年（平成23年） 7月
20251213_1211,100135140982,2025-12-13,築年月,1980年（昭和55年） 4月,1980年（昭和55年） 4月
20251213_1212,100135140997,2025-12-13,築年月,1996年（平成 8年）12月,1996年（平成 8年）12月
20251213_1213,100135141951,2025-12-13,築年月,1980年（昭和55年） 6月,1980年（昭和55年） 6月
20251213_1214,100135144148,2025-12-13,築年月,2015年（平成27年） 4月,2015年（平成27年） 4月
20251213_1215,100135146928,2025-12-13,築年月,2024年（令和 6年）11月,2024年（令和 6年）11月
20251213_1216,100135148079,2025-12-13,築年月,1982年（昭和57年） 6月,1982年（昭和57年） 6月
20251213_1217,100135148258,2025-12-13,築年月,2015年（平成27年） 4月,2015年（平成27年） 4月
20251213_1218,100135148286,2025-12-13,築年月,1978年（昭和53年） 6月,1978年（昭和53年） 6月
20251213_1219,100135153758,2025-12-13,築年月,1980年（昭和55年） 9月,1980年（昭和55年） 9月
20251213_1220,100135154364,2025-12-13,築年月,1998年（平成10年） 2月,1998年（平成10年） 2月
20251213_1221,100135154697,2025-12-13,築年月,1999年（平成11年） 7月,1999年（平成11年） 7月
20251213_1222,100135158359,2025-12-13,築年月,2026年（令和 8年）11月,2026年（令和 8年）11月
20251213_1223,100135160223,2025-12-13,築年月,2004年（平成16年） 9月,2004年（平成16年） 9月
20251213_1224,100135162271,2025-12-13,築年月,1985年（昭和60年） 8月,1985年（昭和60年） 8月
20251213_1225,100135164589,2025-12-13,築年月,2007年（平成19年） 8月,2007年（平成19年） 8月
20251213_1226,100135165369,2025-12-13,築年月,1997年（平成 9年） 6月,1997年（平成 9年） 6月
20251213_1227,100135166097,2025-12-13,築年月,2023年（令和 5年） 8月,2023年（令和 5年） 8月
20251213_1228,100135166716,2025-12-13,築年月,1973年（昭和48年） 9月,1973年（昭和48年） 9月
20251213_1229,100135167026,2025-12-13,築年月,2016年（平成28年） 5月,2016年（平成28年） 5月
20251213_1230,100135167054,2025-12-13,築年月,2016年（平成28年） 5月,2016年（平成28年） 5月
20251213_1231,100135167427,2025-12-13,築年月,2000年（平成12年） 8月,2000年（平成12年） 8月
20251213_1232,100135168406,2025-12-13,築年月,2007年（平成19年） 8月,2007年（平成19年） 8月
20251213_1233,100135168472,2025-12-13,築年月,1999年（平成11年） 3月,1999年（平成11年） 3月
20251213_1234,100135168949,2025-12-13,築年月,1981年（昭和56年） 3月,1981年（昭和56年） 3月
20251213_1235,100135170148,2025-12-13,築年月,2012年（平成24年） 7月,2012年（平成24年） 7月
20251213_1236,100135171090,2025-12-13,築年月,1985年（昭和60年） 7月,1985年（昭和60年） 7月
20251213_1237,100135171709,2025-12-13,築年月,2007年（平成19年） 8月,2007年（平成19年） 8月
20251213_1238,100135172292,2025-12-13,築年月,2021年（令和 3年） 4月,2021年（令和 3年） 4月
20251213_1239,100135172456,2025-12-13,築年月,2005年（平成17年） 4月,2005年（平成17年） 4月
20251213_1240,100135174088,2025-12-13,築年月,2024年（令和 6年）10月,2024年（令和 6年）10月
20251213_1241,100135175341,2025-12-13,築年月,2019年（平成31年） 2月,2019年（平成31年） 2月
20251213_1242,100135175391,2025-12-13,築年月,1977年（昭和52年） 5月,1977年（昭和52年） 5月
20251213_1243,100135176525,2025-12-13,築年月,2016年（平成28年） 2月,2016年（平成28年） 2月
20251213_1244,100135179594,2025-12-13,築年月,2008年（平成20年） 1月,2008年（平成20年） 1月
20251213_1245,100135182152,2025-12-13,築年月,2024年（令和 6年）11月,2024年（令和 6年）11月
20251213_1246,100135182164,2025-12-13,築年月,2024年（令和 6年）11月,2024年（令和 6年）11月
20251213_1247,100135187678,2025-12-13,築年月,2023年（令和 5年） 8月,2023年（令和 5年） 8月
20251213_1248,100135190573,2025-12-13,築年月,2022年（令和 4年） 9月,2022年（令和 4年） 9月
20251213_1249,100135196182,2025-12-13,築年月,1993年（平成 5年）12月,1993年（平成 5年）12月
20251213_1250,100135196247,2025-12-13,築年月,1965年（昭和40年） 3月,1965年（昭和40年） 3月
20251213_1251,100135196305,2025-12-13,築年月,1974年（昭和49年） 8月,1974年（昭和49年） 8月
20251213_1252,100135199313,2025-12-13,築年月,1976年（昭和51年） 4月,1976年（昭和51年） 4月
20251213_1253,100135199460,2025-12-13,築年月,1991年（平成 3年）11月,1991年（平成 3年）11月
20251213_1254,100135202497,2025-12-13,築年月,2019年（平成31年） 2月,2019年（平成31年） 2月
20251213_1255,100135204171,2025-12-13,築年月,2020年（令和 2年） 1月,2020年（令和 2年） 1月
20251213_1256,100135204927,2025-12-13,築年月,2023年（令和 5年） 8月,2023年（令和 5年） 8月
20251213_1257,100135205294,2025-12-13,築年月,2019年（平成31年） 3月,2019年（平成31年） 3月
20251213_1258,100135205492,2025-12-13,築年月,2013年（平成25年） 4月,2013年（平成25年） 4月
20251213_1259,100135206017,2025-12-13,築年月,1986年（昭和61年） 4月,1986年（昭和61年） 4月
20251213_1260,100135206622,2025-12-13,築年月,1978年（昭和53年） 6月,1978年（昭和53年） 6月
20251213_1261,100135207198,2025-12-13,築年月,1998年（平成10年） 3月,1998年（平成10年） 3月
20251213_1262,100135207538,2025-12-13,築年月,2014年（平成26年） 5月,2014年（平成26年） 5月
20251213_1263,100135208337,2025-12-13,築年月,2024年（令和 6年）11月,2024年（令和 6年）11月
20251213_1264,100135208486,2025-12-13,築年月,2021年（令和 3年）11月,2021年（令和 3年）11月
20251213_1265,100135208544,2025-12-13,築年月,2026年（令和 8年）11月,2026年（令和 8年）11月
20251213_1266,100135208567,2025-12-13,築年月,2026年（令和 8年）11月,2026年（令和 8年）11月
20251213_1267,100135208597,2025-12-13,築年月,2023年（令和 5年）11月,2023年（令和 5年）11月
20251213_1268,100135208598,2025-12-13,築年月,2023年（令和 5年）11月,2023年（令和 5年）11月
20251213_1269,100135209714,2025-12-13,築年月,2009年（平成21年） 6月,2009年（平成21年） 6月
20251213_1270,100135210233,2025-12-13,築年月,2001年（平成13年） 2月,2001年（平成13年） 2月
20251213_1271,100135210426,2025-12-13,築年月,2024年（令和 6年）11月,2024年（令和 6年）11月
20251213_1272,100135210800,2025-12-13,築年月,2019年（平成31年） 1月,2019年（平成31年） 1月
20251213_1273,100135210926,2025-12-13,築年月,2019年（平成31年） 3月,2019年（平成31年） 3月
20251213_1274,100135211701,2025-12-13,築年月,2019年（平成31年） 2月,2019年（平成31年） 2月
20251213_1275,100135211787,2025-12-13,築年月,2012年（平成24年） 8月,2012年（平成24年） 8月
20251213_1276,100135212641,2025-12-13,築年月,2024年（令和 6年）11月,2024年（令和 6年）11月
20251213_1277,100135212971,2025-12-13,築年月,2026年（令和 8年）11月,2026年（令和 8年）11月
